,0
1,"
前は小銭を稼ぐには良いフリマサイトだった。だが今は変に厳しくなって今まで振り込まれていたにも関わらず振り込みがキャンセルされる。何度やっても同じ。もう一ヶ月経つが未だに振り込みされてない。最初の登録で若干の入力ミスがあったみたいだが前はそれでも振り込まれていた。「というか、この時も入力が上手くいかなくて、たまたま入力ミスした状態で登録が成功してしまった。だから運営側の責任でもあった。」だが今は変に厳しくなって重要書類と一緒に本人の顔写真も撮らないと入力さえも出来なくされてしまった。「今度も運営側の問題か?わからないが」商品は売れて収益があるにも関わらずお金は入ってこないし再申請する度に手数料は取られるわで全く良いところがない。既に2回申請して二度手数料引かれてるし送料もこちら負担にしたせいで既に売り上げ金が千円も少なくなってしまった。これでまたキャンセルされたらもう売り上げ金なんてあぶく銭くらいにしかならない。いや売り上げ金自体入るかもわからなくなってきた。実際、何度本人確認してもキャンセルされた人もいるという記事も見た。結局、購入者と運営側だけが得をするフリマサイトと言える。
"
2,"
出費商品が削除されました。運営様によるとガイドラインになんたらと連絡来ましたが過去に私と同じものが沢山出品されて普通に売れてるのにどうして私のは駄目なのか意味が分からない。手数料を取って経営をしていくんだから素直に出品させてくれればいいのにね。区別だが差別だが分らんが駄目というなら出品しないが出品をチェックしてる人の感情一つで振り回されるのはどうでしょう。。だって過去に売れてるんだもんね。。
"
3,"
カスタマーセンターの対応に腹立ったので退会しました。別に悪い出品者とかには出会わなかったです。
"
4,"
初めての出品で新品のプリンターをかなり安く出したので直ぐに買い手が付いた。
現金が振込まれると思っていたらポイント？
何か買わなきゃと検索したが欲しい物は何も無かった。交換しないまま退会。クソッ！
"
5,"
購入者が得する
出品者は返品要請を受けないと、ペナルティあるし、返品要請受けてすり替えられたことも品物が返ってこなかったこともあります。

事務局は返品拒否に対して双方で話つけろと、放置。それに対して画像や出品前、送付前の証拠を提出しても返品に応じろと一点張り。

また、すり替えなどのトラブルにあったらどう保証してくれるのかについては、サポート対策を考えますのみ。

出品者は、悪質な購入者に当たってしまって被害を受けても、何もサポートしてくれません。
出品者が圧倒的に不利なフリマアプリです。

事務局の方にもっと対策をしてもらいたいです。一方的すぎる。
"
6,"
17,000円ほどのpc関連商品を出品。購入者から受け取り評価もメッセージも全く反応がない中、事務局から自動取引完了日時の案内が来た。しかし自動取引完了日時を丸一日以上すぎても一向に取引完了がなされない。この間、事務局に問い合わせること計4回。全く返信なし。ようやく返信が来て自動取引完了されたのは案内された日時より30時間遅れ。しかも同様の事態はこれで2回目。事務局は言い訳ばかりで出品者を馬鹿にしてる。頭に来たから消費者センターに通告した。
"
7,"
昔手に入れられなかった好きな作品のぬいぐるみやグッズが出品されていないだろうか…とアカウントを作成し作品名を検索、すると新発売のカードや一番くじやぬいぐるみ等、同一品を複数高額出品している人が大量に出てきます。
まともに出品してる人が本当に居ない、転売屋はいくらブロックしても沸いて出てきます、きりがないです。
また、安価で売られていたレア商品を買い取り、写真もそっくりそのまま流用し速攻倍額で転売する人も居ます、気分が悪くなりました。
転売屋に余計に払ったお金は公式に渡りません、どれだけ欲しかった製品でも転売屋に利益を出すくらいなら諦めて、公式に再販要望の問い合わせを送るのが良いと思いました。
好きな作品ほど、検索するととても嫌な気分になる場所です、購入も出品も躊躇われます。
"
8,"
永久追放されたたままです。
ここの運営は対応が悪いくせに、
悪い出品した人には、しっかりとするとかおかしな事を
する運営です。
わけがわからない。
"
9,"
毎日出品チャンス(ハズレ無し)などと謳っているが、蓋を開けてみればまるでユーザーをナメているかのような、ゴミ内容。
1P(1円)とか…バカにしているのか？
有効期限の度に邪魔でしかない｢〇〇後に有効期限が切れます｣通知。遠回しに｢何か買え買え｣と促してくるようにしか思えない。
ウザい、そんなくだらないポイントぐらいだったら要らねー💢。
(毎日にように断捨離していて大量に出品物があちこちにある人なら…とも思うが、感じ方個人差あるし…応えに困る。)
通知がとにかくウザい為、現状の出品を控えることにした(そもそもそんなに出品物はないが)。
まだハズれて0Pの方がスカーとしてマシだわ。

度々来る運営からのメッセージはほとんどポイントという餌を吊り下げてなにかと商品購入させて全ユーザーから｢販売手数料｣を巻き上げることしか考えていないわ。
｢お金｣にしか眼中に無いことが透け透けで肝心の中の環境をよくしようなどとは微塵も考えていない。
中はとにかく酷い状態。

購入･出品の立場を担っているからこそお互いの気持ちが痛いほど分かるのだが、
(全ユーザーに当てはまるかは断定出来ないが)

販売手数料の高騰＆送料は出品者が基本負担しないと売れず送料込の金額に設定せざるを得ない出品者  
                      VS
経済悪化により収益や収入が年々減ってきて何としてでも少しでもより安く購入したい購入者

がひしめき合っていてとてもじゃないが目を塞ぎたくなり良環境とは思えない。
さらには、｢某人気ゲームなど｣公式ショップなどで最新商品を定価で大量に買い込みフリマアプリで定価以上の金額を付けて少しでも儲けようと売りつける転売ヤーなる者が軒並み貪っている。
(しかもそう言う輩に限ってたいてい｢値下げ不可｣と記載しており1円でも儲けは逃したくない、食い下がろうともしない。)
私からの本心だが、
｢公式ショップから本気で欲しくて心から購入したかった方達の気持ちも考えろ。公式ショップはあんたらの金儲けの為にある訳じゃない。
”転売の為に商品を購入するぐらいなら本気で必要としている方の為に置いておく”という気持ちは1ミリも無いのか。
壊滅して欲しい。より一層逮捕されるなど厳しく処されて欲しい。｣軽々しく転売なんかするな。

ジャンルによっては偽物やらコピー品なども出回っているそうで。

しかも困ったことに運営も放置状態で一向に取り締まろうともしない。お前たちは一体何のための運営？
これのどこが安心信頼のフリマアプリなのだろうか。
決してこのフリマアプリに限った話ではないが、とことん現日本人の民度が伺い知れる。(このご時世もはや日本人だけではなくなっているが)

真面目に断捨離をしていて昔から家にあった物をコツコツ出品して利用している人がバカを見るとはまさにこの事。
本来のフリマの定義を完全に忘れてしまって間違えており新品未使用品でないとまともに売れないのも大きな問題である。
"
10,"
久しぶりに利用してみたら振り込みがキャンセルされ、よくよく見ると画面上の方にお客様の安全のため、あんしん支払い設定上限が0円に設定されましただと？余計な事するな!これの設定をしないと振り込まれないのかと上限なしに変えたところ「振り込み申請が完了しました」と表示され、やった!これで大丈夫だと思っていたら今度はずっと申請中のままで、振り込み日になっても振り込まれず。今度もまた銀行のせいにして逃げるつもりなのだろうか?結局、振り込み詐欺対策を装っての過剰な社内規約によって本人でありながら受け取れなくしている。酷い会社だ。坊主憎けりゃ袈裟憎いでＣＭの堺雅人も長澤まさみも嫌いになった。こういうのは取り締まりの対象にならないのか?似た人も少なからずいるのに放っておくのは社会的にもどうかと思う。
"
